% Model:              Quarter_box.mph
% Version:            COMSOL 6.1.0.357
% Date:               Aug 30 2023, 10:42
% Table:              Table 3 - 
% freq (Hz)              \sigma_num,
80                       0.0077746822217959685
100                      0.011737129558974126
120                      0.016438178572337012
140                      0.02203749635040963
160                      0.028876745874714786
180                      0.03754232156151006
200                      0.04895879296924752
220                      0.0645011227306378
240                      0.08602502106178246
260                      0.11546246902667234
280                      0.153203520808382
300                      0.19485724648885042
320                      0.22976196180940278
340                      0.24786859382888166
360                      0.2493681798192662
380                      0.24256744950261244
400                      0.23544360329668002
420                      0.23237426643616202
440                      0.2351553229783476
460                      0.2445029797951248
480                      0.26090942516168264
500                      0.2849862019174714
520                      0.3175090386945821
540                      0.35921855079580417
560                      0.4103022829308811
580                      0.46946194651653367
600                      0.5327123339199841
620                      0.5927387903755443
640                      0.640326193714805
660                      0.6684375184053007
680                      0.676371930354086
700                      0.6701055053184555
720                      0.6586883333410958
740                      0.6502644865249764
760                      0.6501390043386867
780                      0.660596812192848
800                      0.6813789349680104
820                      0.7103238221407869
840                      0.7442367196185967
860                      0.7799953958074597
880                      0.8154878209998201
900                      0.8498629374824929
920                      0.8830175280375234
940                      0.9147484977237884
960                      0.9441032832463734
980                      0.9692685015254219
1000                     0.9881061283973108
1020                     0.9991917000933985
1040                     1.0028890098392829
1060                     1.001813581711399
1080                     1.0002890829913749
1100                     1.0029786531861309
1120                     1.0132628651424902
1140                     1.0319104968734842
1160                     1.0564828796707366
1180                     1.0819539489259073
1200                     1.1027453868594654
1220                     1.115305573390984
1240                     1.1194739975355799
1260                     1.1177225564368334
1280                     1.1132126243584213
1300                     1.1082388909236063
1320                     1.1037948214788826
1340                     1.1000336854465589
1360                     1.0970078014699396
1380                     1.0951491815173229
1400                     1.0952895200715194
1420                     1.098345772782114
1440                     1.1048946044509893
1460                     1.1147755123189385
1480                     1.1268136906604334
1500                     1.1388050474461986
1520                     1.1479206135130724
1540                     1.1515226864590438
1560                     1.1480814052297867
1580                     1.1376961718818779
1600                     1.1219168879002748
1620                     1.10303088419595
1640                     1.0833046891823852
1660                     1.0645736136079151
1680                     1.048218799922638
1700                     1.0352938634228912
1720                     1.0265428956352964
1740                     1.0222429393511672
1760                     1.0220145354411785
1780                     1.024800208212012
1800                     1.0290930835323295
1820                     1.0333180439711342
1840                     1.0361693986706841
1860                     1.0367687178345608
1880                     1.0346567516174987
1900                     1.029724346015977
1920                     1.0221601672622664
1940                     1.01242049484839
1960                     1.001189487491196
1980                     0.9893060752452437
2000                     0.9776558034103028
